name,市盈率,百分位,市净率,百非位,起始
上证180,13.7,14.9%,1.49,14.9%,2009
上证50,11.0,13.1%,1.31,13.1%,2009
中小板指,22.1,26.2%,1.5,26.2%,2009
中小板综,32.0,19.5%,1.3,19.5%,2009
中证100,12.4,14.5%,2.6,14.5%,2009
中证1000,24.2,18.3%,2.0,18.3%,2009
中证500,19.1,15.5%,1.5,15.5%,2009
中证传媒,24.2,19.0%,1.8,19.0%,2009
中证军工,50.3,30.3%,1.6,30.3%,2009
中证医疗,33.6,32.4%,1.9,32.4%,2009
中证环保,21.0,17.0%,3.0,17.0%,2009
中证红利,10.8,12.2%,3.2,12.2%,2009
中证银行,7.0,8.7%,1.7,8.7%,2009
全指信息,42.8,27.7%,1.2,27.7%,2009
全指医药,27.7,24.1%,0.9,24.1%,2009
全指消费,30.1,25.8%,2.8,25.8%,2009
全指金融,11.5,11.8%,2.4,11.8%,2009
养老产业,25.5,29.2%,2.6,29.2%,2009
创业板指,37.6,30.3%,1.2,30.3%,2009
创业板综,42.9,26.5%,2.9,26.5%,2009
可选消费,24.5,16.2%,3.0,16.2%,2009
沪深300,15.6,16.7%,2.7,16.7%,2009
深证100,21.8,23.5%,1.6,23.5%,2009
深证成指,21.6,19.3%,1.7,19.3%,2009
证券公司,36.9,15.9%,2.4,15.9%,2009
食品饮料,34.5,26%,1.9,99.1%,2009
